[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13389.64it/s]
/root/modded-nanogpt/logs/record-detached-no-attn-gate-stop328-1450.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 1450 optimizer steps
step:437/1450 train_time:104010ms step_avg:238.01ms
step:438/1450 train_time:104247ms step_avg:238.01ms
step:439/1450 train_time:104486ms step_avg:238.01ms
step:440/1450 train_time:104723ms step_avg:238.01ms
step:441/1450 train_time:104961ms step_avg:238.01ms
step:442/1450 train_time:105201ms step_avg:238.01ms
step:443/1450 train_time:105440ms step_avg:238.01ms
step:444/1450 train_time:105679ms step_avg:238.01ms
step:445/1450 train_time:105917ms step_avg:238.01ms
step:446/1450 train_time:106156ms step_avg:238.02ms
step:447/1450 train_time:106394ms step_avg:238.02ms
step:448/1450 train_time:106632ms step_avg:238.02ms
step:449/1450 train_time:106869ms step_avg:238.02ms
step:450/1450 train_time:107108ms step_avg:238.02ms
step:451/1450 train_time:107348ms step_avg:238.02ms
step:452/1450 train_time:107585ms step_avg:238.02ms
step:453/1450 train_time:107825ms step_avg:238.02ms
step:454/1450 train_time:108062ms step_avg:238.02ms
step:455/1450 train_time:108301ms step_avg:238.02ms
step:456/1450 train_time:108539ms step_avg:238.02ms
step:457/1450 train_time:108778ms step_avg:238.03ms
step:458/1450 train_time:109016ms step_avg:238.03ms
step:459/1450 train_time:109440ms step_avg:238.43ms
step:460/1450 train_time:109887ms step_avg:238.88ms
step:461/1450 train_time:110330ms step_avg:239.33ms
step:462/1450 train_time:110777ms step_avg:239.78ms
step:463/1450 train_time:111223ms step_avg:240.22ms
step:464/1450 train_time:111668ms step_avg:240.66ms
step:465/1450 train_time:112113ms step_avg:241.10ms
step:466/1450 train_time:112559ms step_avg:241.54ms
step:467/1450 train_time:113006ms step_avg:241.98ms
step:468/1450 train_time:113451ms step_avg:242.42ms
step:469/1450 train_time:113898ms step_avg:242.85ms
step:470/1450 train_time:114344ms step_avg:243.29ms
step:471/1450 train_time:114790ms step_avg:243.71ms
step:472/1450 train_time:115236ms step_avg:244.14ms
step:473/1450 train_time:115680ms step_avg:244.57ms
step:474/1450 train_time:116128ms step_avg:245.00ms
step:475/1450 train_time:116571ms step_avg:245.41ms
step:476/1450 train_time:117018ms step_avg:245.84ms
step:477/1450 train_time:117465ms step_avg:246.26ms
step:478/1450 train_time:117909ms step_avg:246.67ms
step:479/1450 train_time:118354ms step_avg:247.09ms
step:480/1450 train_time:118800ms step_avg:247.50ms
step:481/1450 train_time:119245ms step_avg:247.91ms
