[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3747.42it/s]
/root/modded-nanogpt/results/codex_xsa_no_gate_target328_20260526T015307Z/logs/codex-xsa-no-gate-target328.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 2500 optimizer steps
step:177/2500 train_time:42124ms step_avg:237.99ms
step:178/2500 train_time:42362ms step_avg:237.99ms
step:179/2500 train_time:42602ms step_avg:238.00ms
step:180/2500 train_time:42840ms step_avg:238.00ms
step:181/2500 train_time:43080ms step_avg:238.01ms
step:182/2500 train_time:43318ms step_avg:238.01ms
step:183/2500 train_time:43557ms step_avg:238.02ms
step:184/2500 train_time:43794ms step_avg:238.01ms
step:185/2500 train_time:44033ms step_avg:238.01ms
step:186/2500 train_time:44271ms step_avg:238.01ms
step:187/2500 train_time:44511ms step_avg:238.03ms
step:188/2500 train_time:44750ms step_avg:238.03ms
step:189/2500 train_time:44990ms step_avg:238.04ms
step:190/2500 train_time:45227ms step_avg:238.04ms
step:191/2500 train_time:45466ms step_avg:238.04ms
step:192/2500 train_time:45704ms step_avg:238.04ms
step:193/2500 train_time:45943ms step_avg:238.05ms
step:194/2500 train_time:46182ms step_avg:238.05ms
step:195/2500 train_time:46422ms step_avg:238.06ms
step:196/2500 train_time:46660ms step_avg:238.06ms
step:197/2500 train_time:46900ms step_avg:238.07ms
step:198/2500 train_time:47138ms step_avg:238.07ms
step:199/2500 train_time:47376ms step_avg:238.07ms
step:200/2500 train_time:47614ms step_avg:238.07ms
step:201/2500 train_time:47853ms step_avg:238.07ms
step:202/2500 train_time:48092ms step_avg:238.08ms
step:203/2500 train_time:48332ms step_avg:238.09ms
step:204/2500 train_time:48571ms step_avg:238.09ms
step:205/2500 train_time:48811ms step_avg:238.10ms
step:206/2500 train_time:49049ms step_avg:238.10ms
step:207/2500 train_time:49289ms step_avg:238.11ms
step:208/2500 train_time:49528ms step_avg:238.12ms
step:209/2500 train_time:49766ms step_avg:238.12ms
step:210/2500 train_time:50004ms step_avg:238.11ms
step:211/2500 train_time:50244ms step_avg:238.12ms
step:212/2500 train_time:50483ms step_avg:238.13ms
step:213/2500 train_time:50724ms step_avg:238.14ms
step:214/2500 train_time:50963ms step_avg:238.15ms
step:215/2500 train_time:51201ms step_avg:238.15ms
step:216/2500 train_time:51442ms step_avg:238.16ms
step:217/2500 train_time:51680ms step_avg:238.16ms
step:218/2500 train_time:51918ms step_avg:238.16ms
step:219/2500 train_time:52157ms step_avg:238.16ms
step:220/2500 train_time:52395ms step_avg:238.16ms
step:221/2500 train_time:52634ms step_avg:238.16ms
step:222/2500 train_time:52872ms step_avg:238.16ms
step:223/2500 train_time:53112ms step_avg:238.17ms
step:224/2500 train_time:53352ms step_avg:238.18ms
step:225/2500 train_time:53590ms step_avg:238.18ms
step:226/2500 train_time:53832ms step_avg:238.19ms
step:227/2500 train_time:54071ms step_avg:238.20ms
step:228/2500 train_time:54308ms step_avg:238.19ms
step:229/2500 train_time:54548ms step_avg:238.20ms
step:230/2500 train_time:54785ms step_avg:238.19ms
step:231/2500 train_time:55024ms step_avg:238.20ms
step:232/2500 train_time:55264ms step_avg:238.21ms
step:233/2500 train_time:55504ms step_avg:238.21ms
step:234/2500 train_time:55742ms step_avg:238.22ms
step:235/2500 train_time:55983ms step_avg:238.22ms
step:236/2500 train_time:56223ms step_avg:238.23ms
step:237/2500 train_time:56462ms step_avg:238.24ms
step:238/2500 train_time:56702ms step_avg:238.24ms
step:239/2500 train_time:56941ms step_avg:238.25ms
step:240/2500 train_time:57180ms step_avg:238.25ms
step:241/2500 train_time:57419ms step_avg:238.25ms
step:242/2500 train_time:57657ms step_avg:238.25ms
step:243/2500 train_time:57895ms step_avg:238.25ms
step:244/2500 train_time:58134ms step_avg:238.25ms
step:245/2500 train_time:58375ms step_avg:238.27ms
step:246/2500 train_time:58612ms step_avg:238.26ms
step:247/2500 train_time:58851ms step_avg:238.26ms
step:248/2500 train_time:59091ms step_avg:238.27ms
step:249/2500 train_time:59329ms step_avg:238.27ms
step:250/2500 train_time:59568ms step_avg:238.27ms
step:250/2500 val_loss:4.4663 train_time:59608ms step_avg:238.43ms
step:251/2500 train_time:59806ms step_avg:238.27ms
step:252/2500 train_time:60043ms step_avg:238.26ms
step:253/2500 train_time:60282ms step_avg:238.27ms
step:254/2500 train_time:60522ms step_avg:238.28ms
step:255/2500 train_time:60761ms step_avg:238.28ms
step:256/2500 train_time:60999ms step_avg:238.28ms
step:257/2500 train_time:61238ms step_avg:238.28ms
step:258/2500 train_time:61476ms step_avg:238.28ms
step:259/2500 train_time:61717ms step_avg:238.29ms
step:260/2500 train_time:61954ms step_avg:238.28ms
step:261/2500 train_time:62192ms step_avg:238.28ms
step:262/2500 train_time:62431ms step_avg:238.28ms
step:263/2500 train_time:62671ms step_avg:238.29ms
step:264/2500 train_time:62910ms step_avg:238.29ms
step:265/2500 train_time:63149ms step_avg:238.30ms
step:266/2500 train_time:63387ms step_avg:238.30ms
step:267/2500 train_time:63627ms step_avg:238.30ms
step:268/2500 train_time:63865ms step_avg:238.30ms
step:269/2500 train_time:64104ms step_avg:238.30ms
step:270/2500 train_time:64342ms step_avg:238.31ms
step:271/2500 train_time:64581ms step_avg:238.31ms
step:272/2500 train_time:64820ms step_avg:238.31ms
step:273/2500 train_time:65059ms step_avg:238.31ms
step:274/2500 train_time:65298ms step_avg:238.31ms
step:275/2500 train_time:65538ms step_avg:238.32ms
step:276/2500 train_time:65776ms step_avg:238.32ms
step:277/2500 train_time:66016ms step_avg:238.33ms
step:278/2500 train_time:66254ms step_avg:238.32ms
step:279/2500 train_time:66494ms step_avg:238.33ms
step:280/2500 train_time:66732ms step_avg:238.33ms
step:281/2500 train_time:66972ms step_avg:238.33ms
step:282/2500 train_time:67210ms step_avg:238.33ms
step:283/2500 train_time:67451ms step_avg:238.34ms
step:284/2500 train_time:67691ms step_avg:238.35ms
step:285/2500 train_time:67930ms step_avg:238.35ms
step:286/2500 train_time:68169ms step_avg:238.35ms
step:287/2500 train_time:68406ms step_avg:238.35ms
step:288/2500 train_time:68646ms step_avg:238.35ms
step:289/2500 train_time:68884ms step_avg:238.35ms
step:290/2500 train_time:69121ms step_avg:238.35ms
step:291/2500 train_time:69362ms step_avg:238.36ms
step:292/2500 train_time:69601ms step_avg:238.36ms
step:293/2500 train_time:69840ms step_avg:238.36ms
step:294/2500 train_time:70080ms step_avg:238.37ms
step:295/2500 train_time:70318ms step_avg:238.37ms
step:296/2500 train_time:70557ms step_avg:238.37ms
step:297/2500 train_time:70796ms step_avg:238.37ms
step:298/2500 train_time:71034ms step_avg:238.37ms
step:299/2500 train_time:71273ms step_avg:238.37ms
step:300/2500 train_time:71512ms step_avg:238.37ms
step:301/2500 train_time:71751ms step_avg:238.38ms
step:302/2500 train_time:71992ms step_avg:238.38ms
step:303/2500 train_time:72230ms step_avg:238.38ms
step:304/2500 train_time:72469ms step_avg:238.38ms
step:305/2500 train_time:72709ms step_avg:238.39ms
step:306/2500 train_time:72949ms step_avg:238.40ms
step:307/2500 train_time:73188ms step_avg:238.40ms
step:308/2500 train_time:73429ms step_avg:238.40ms
step:309/2500 train_time:73666ms step_avg:238.40ms
step:310/2500 train_time:73905ms step_avg:238.40ms
step:311/2500 train_time:74143ms step_avg:238.40ms
step:312/2500 train_time:74385ms step_avg:238.41ms
step:313/2500 train_time:74624ms step_avg:238.41ms
step:314/2500 train_time:74864ms step_avg:238.42ms
step:315/2500 train_time:75101ms step_avg:238.42ms
step:316/2500 train_time:75341ms step_avg:238.42ms
step:317/2500 train_time:75579ms step_avg:238.42ms
step:318/2500 train_time:75819ms step_avg:238.43ms
step:319/2500 train_time:76057ms step_avg:238.42ms
step:320/2500 train_time:76295ms step_avg:238.42ms
step:321/2500 train_time:76534ms step_avg:238.42ms
step:322/2500 train_time:76773ms step_avg:238.42ms
step:323/2500 train_time:77013ms step_avg:238.43ms
step:324/2500 train_time:77251ms step_avg:238.43ms
step:325/2500 train_time:77490ms step_avg:238.43ms
step:326/2500 train_time:77729ms step_avg:238.43ms
